,pos_q0,pos_q1,pos_q2,pos_q3
0,24000,2499.7000000000007,0,0
1,23960,2582.7657643137973,87,218
2,23739,3050.056429638551,572,1449
3,23283,4011.350539120249,1570,3981
4,22645,5356.869549612902,2967,7524
5,21940,6845.100666195342,4513,11444
6,21302,8190.619676687991,5910,14987
7,20846,9151.91378616969,6908,17519
8,20625,9619.204451494443,7393,18749
9,20585,9702.270215808247,7480,18968
