pos0,pos1,pos2,pos3,pos4,gripper_closed
24000,2500,14500,0,0,1
24000,2500,14500,-5845,-5824,True
24000,8500,1300,-5845,-5824,True
24000,9700,-100,-6048,-6065,True
24000,10500,-100,-6048,-6065,True
24000,9500,-100,-6048,-6065,True
